school_id,ipgroup_name,ipgroup_id,nfa_uuid,date,daily_95th_percentile_mbps,direction,data_points_daily
1483,院校134_B站_V4,2500270,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9779165903727214,both,288
1371,院校021_B站_V4,2500046,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9754165649414063,both,288
1475,院校126_B站_V4,2500254,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9629165649414062,both,288
1492,院校144_B站_V6,2500290,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.95,both,288
1482,院校133_B站_V4,2500268,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9489583333333333,both,288
1485,院校136_B站_V4,2500274,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9487499237060547,both,288
1471,院校121_B站_V4,2500246,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9291666666666666,both,288
1354,院校003_B站_V6,2500014,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.9174997965494791,both,288
1454,院校104_B站_V4,2500212,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.6341665903727214,both,288
1361,院校013_B站_V4,2500030,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3516666412353516,both,288
1444,院校094_B站_V4,2500192,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3333332061767578,both,288
1496,院校149_B站_V6,2500299,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3274998982747396,both,288
1433,院校083_B站_V6,2500171,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.32499999999999996,both,288
1434,院校084_B站_V4,2500172,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3162499745686849,both,288
1379,院校029_B站_V6,2500063,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3125,both,288
1383,院校033_B站_V6,2500071,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3125,both,288
1455,院校105_B站_V6,2500215,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3125,both,288
1467,院校117_B站_V6,2500239,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.3116666158040365,both,288
1431,院校081_B站_V4,2500166,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.28291664123535154,both,288
1440,院校090_B站_V4,2500184,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.16541659037272136,both,288
1364,院校014_B站_V4,2500032,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.029166666666666667,both,288
1450,院校100_B站_V4,2500204,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.02666651407877604,both,288
1494,院校146_B站_V4,2500293,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.014583333333333334,both,288
1489,院校141_B站_V4,2500283,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.014583333333333334,both,288
1482,院校133_B站_V6,2500269,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0125,both,288
1390,院校040_B站_V6,2500085,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1391,院校041_B站_V4,2500086,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1385,院校035_B站_V6,2500075,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1385,院校035_B站_V4,2500074,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1388,院校038_B站_V4,2500080,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1389,院校039_B站_V6,2500083,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1380,院校030_B站_V4,2500064,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1382,院校032_B站_V4,2500068,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1369,院校019_B站_V6,2500043,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1370,院校020_B站_V4,2500044,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1369,院校019_B站_V4,2500042,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1367,院校017_B站_V6,2500039,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1375,院校025_B站_V4,2500054,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1378,院校028_B站_V6,2500061,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1373,院校023_B站_V6,2500051,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1371,院校021_B站_V6,2500047,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1358,院校008_B站_V6,2500023,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1360,院校012_B站_V6,2500029,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1511,院校005_B站_V6,2500017,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1361,院校013_B站_V6,2500031,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1513,院校011_B站_V6,2500027,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1477,院校128_B站_V6,2500259,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1483,院校134_B站_V6,2500271,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1495,院校148_B站_V4,2500296,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1489,院校141_B站_V6,2500284,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1491,院校143_B站_V4,2500287,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1505,院校158_B站_V4,2500316,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1502,院校155_B站_V6,2500311,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1500,院校153_B站_V6,2500307,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1507,院校160_B站_V6,2500321,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1395,院校045_B站_V6,2500095,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1392,院校042_B站_V4,2500088,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1430,院校080_B站_V4,2500164,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1431,院校081_B站_V6,2500167,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1432,院校082_B站_V6,2500169,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1421,院校071_B站_V6,2500147,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1423,院校073_B站_V4,2500150,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1422,院校072_B站_V6,2500149,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
1422,院校072_B站_V4,2500148,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,0.0,both,288
